Time				|	CPU(%)	|Memory Usage(MB)|Data Sent(MB)|Data Received(MB)
2024-11-16T06:28:29.617Z	|	0.00	|	3.65	|	0.00	|	0.01
2024-11-16T06:28:31.448Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:33.466Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:35.459Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:37.456Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:39.478Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:41.456Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:43.472Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:45.616Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:47.561Z	|	0.00	|	3.65	|	0.01	|	0.01
2024-11-16T06:28:50.747Z	|	0.00	|	3.65	|	0.04	|	0.05
2024-11-16T06:28:54.241Z	|	0.00	|	3.65	|	0.08	|	0.05
2024-11-16T06:28:54.460Z	|	0.00	|	3.65	|	0.11	|	0.05
2024-11-16T06:28:55.822Z	|	0.00	|	3.65	|	0.11	|	0.06
2024-11-16T06:28:58.011Z	|	0.00	|	3.65	|	0.16	|	0.06
2024-11-16T06:28:59.760Z	|	0.00	|	3.65	|	0.16	|	0.06
2024-11-16T06:29:01.704Z	|	0.00	|	3.65	|	0.17	|	0.09
2024-11-16T06:29:03.581Z	|	0.00	|	3.65	|	0.17	|	0.09
2024-11-16T06:29:06.516Z	|	0.00	|	3.65	|	0.21	|	0.09
2024-11-16T06:29:07.792Z	|	0.00	|	3.65	|	0.21	|	0.09
2024-11-16T06:29:09.868Z	|	0.00	|	3.65	|	0.21	|	0.09
2024-11-16T06:29:12.446Z	|	0.00	|	3.65	|	0.24	|	0.10
2024-11-16T06:29:14.994Z	|	0.00	|	3.65	|	0.27	|	0.12
2024-11-16T06:29:16.143Z	|	0.00	|	3.65	|	0.28	|	0.13
2024-11-16T06:29:17.951Z	|	0.00	|	3.65	|	0.29	|	0.15
2024-11-16T06:29:20.094Z	|	0.00	|	3.65	|	0.30	|	0.15
2024-11-16T06:29:22.296Z	|	0.00	|	3.65	|	0.31	|	0.16
2024-11-16T06:29:24.927Z	|	0.00	|	3.65	|	0.32	|	0.19
2024-11-16T06:29:26.652Z	|	0.00	|	3.65	|	0.35	|	0.21
2024-11-16T06:29:28.713Z	|	0.00	|	3.65	|	0.35	|	0.21
2024-11-16T06:29:30.685Z	|	0.00	|	3.65	|	0.39	|	0.21
2024-11-16T06:29:31.847Z	|	0.00	|	3.65	|	0.39	|	0.21
2024-11-16T06:29:33.774Z	|	0.00	|	3.65	|	0.39	|	0.22
2024-11-16T06:29:35.683Z	|	0.00	|	3.65	|	0.39	|	0.22
2024-11-16T06:29:37.677Z	|	0.00	|	3.65	|	0.40	|	0.24
2024-11-16T06:29:39.705Z	|	0.00	|	3.65	|	0.40	|	0.24
2024-11-16T06:29:41.692Z	|	0.00	|	3.65	|	0.41	|	0.24
2024-11-16T06:29:43.695Z	|	0.00	|	3.65	|	0.41	|	0.24
2024-11-16T06:29:45.735Z	|	0.00	|	3.65	|	0.41	|	0.24
2024-11-16T06:29:47.715Z	|	0.00	|	3.65	|	0.41	|	0.24
2024-11-16T06:29:49.717Z	|	0.00	|	3.65	|	0.41	|	0.24
2024-11-16T06:29:57.584Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:29:57.595Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:29:57.604Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:29:57.865Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:29:59.799Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:01.771Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:03.831Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:05.770Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:07.808Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:09.792Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:11.787Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:14.036Z	|	0.00	|	3.65	|	0.43	|	0.26
2024-11-16T06:30:17.026Z	|	0.00	|	3.65	|	0.45	|	0.27
2024-11-16T06:30:19.196Z	|	0.00	|	3.65	|	0.45	|	0.27
2024-11-16T06:30:21.913Z	|	0.00	|	3.65	|	0.45	|	0.29
2024-11-16T06:30:22.662Z	|	0.00	|	3.65	|	0.45	|	0.29
2024-11-16T06:30:24.514Z	|	0.00	|	3.65	|	0.46	|	0.29
2024-11-16T06:30:27.001Z	|	0.00	|	3.65	|	0.49	|	0.35
2024-11-16T06:30:28.624Z	|	0.00	|	3.65	|	0.50	|	0.36
2024-11-16T06:30:30.348Z	|	0.00	|	3.65	|	0.50	|	0.36
2024-11-16T06:30:31.899Z	|	0.00	|	3.65	|	0.51	|	0.38
2024-11-16T06:30:33.902Z	|	0.00	|	3.65	|	0.51	|	0.38
2024-11-16T06:30:35.864Z	|	0.00	|	3.65	|	0.51	|	0.38
2024-11-16T06:30:37.865Z	|	0.00	|	3.65	|	0.51	|	0.38
2024-11-16T06:30:39.861Z	|	0.00	|	3.65	|	0.51	|	0.38
2024-11-16T06:30:42.306Z	|	0.00	|	3.65	|	0.51	|	0.38
2024-11-16T06:30:44.046Z	|	0.00	|	3.65	|	0.56	|	0.39
2024-11-16T06:30:46.020Z	|	0.00	|	3.65	|	0.57	|	0.39
2024-11-16T06:30:48.019Z	|	0.00	|	3.65	|	0.57	|	0.39
2024-11-16T06:30:50.336Z	|	0.00	|	3.65	|	0.58	|	0.41
2024-11-16T06:30:52.665Z	|	0.00	|	3.65	|	0.58	|	0.41
2024-11-16T06:30:54.958Z	|	0.00	|	3.65	|	0.59	|	0.42
2024-11-16T06:30:57.769Z	|	0.00	|	3.65	|	0.61	|	0.45
2024-11-16T06:30:58.446Z	|	0.00	|	3.65	|	0.61	|	0.45
2024-11-16T06:31:00.731Z	|	0.00	|	3.65	|	0.61	|	0.45
2024-11-16T06:31:02.731Z	|	0.00	|	3.65	|	0.61	|	0.45
2024-11-16T06:31:04.450Z	|	0.00	|	3.65	|	0.65	|	0.45
2024-11-16T06:31:06.089Z	|	0.00	|	3.65	|	0.66	|	0.46
2024-11-16T06:31:08.255Z	|	0.00	|	3.65	|	0.66	|	0.47
2024-11-16T06:31:10.221Z	|	0.00	|	3.65	|	0.70	|	0.48
